ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE
479	仦	仦	nɛu21	neu4	細長柔軟，古壯字亦同，本字嫋	(語)
480	仦	仦	niu24	niu5		
481	仨	仨	ɬam53	slaam1		
482	仫	仫	mœk24	moek5		(書)
483	仫	仫	mo53	mo1		(習)
484	仰	仰	ŋiɐŋ24	ngiang5		
485	仲	仲	tʃoŋ22	zung6	副詞，還	(又)
486	仲	仲	tʃœŋ22	zoeng6	伯仲；副詞，還，本字重	
487	仳	仳	pʰi33	pi2		
488	仵	仵	ŋu24	ngu5		(老派)
489	仵	仵	ŋ̍24	ng5		
490	件	件	kin22	gin6		(又)
491	件	件	kyn22	gyun6		
492	价	价	ka55	gaa3		
493	任	任	ȵɐm21	njam4	姓	
494	任	任	ȵɐm22	njam6	責任	
495	份	份	fɐn22	fan6		
496	仿	仿	foŋ33	fung2		
497	企	企	kʰi33	ki2	企業	
498	伈	伈	ɬɐm33	slam2		
499	伉	伉	kʰaŋ55	kaang3		
500	伊	伊	ji53	ji1		
501	伋	伋	kʰɐp3	kap2		
502	伍	伍	ŋu24	ngu5		(老派)
503	伍	伍	ŋ̍24	ng5		
504	伎	伎	ki22	gi6	伎倆	
505	伎	伎	ki21	gi4	伎伎	
506	伏	伏	fœk2	foek6		
507	伐	伐	fat2	faat6		
508	休	休	jɐu53	jau1		
509	伕	伕	fu53	fu1		
510	优	优	jɐu53	jau1		
511	伙	伙	hu33	hu2		
512	伢	伢	ȵa21	njaa4		
513	伩	伩	mɐn53	man1	細～仔，小孩子	
514	伭	伭	jin21	jin4		(又)
515	伭	伭	jyn21	jyun4		
516	伯	伯	piɐk3	biak2		
517	估	估	ku33	gu2		
518	伲	伲	ni21	ni4		(又)
519	伲	伲	nɐi21	nai4		
520	伴	伴	pun24	bun5		
521	伶	伶	leŋ21	ling4		
522	伸	伸	tʃʰɐn53	can1	伸懶腰，又作抻/胂字	(語)
523	伸	伸	ʃɐn53	san1		
524	伺	伺	tʃʰi55	ci3	伺候，伺機	
525	伻	伻	pʰɐŋ53	pang1		(又)
526	伻	伻	peŋ21	bing4		(又)
527	伻	伻	pʰeŋ53	ping1		
528	似	似	tʃi24	zi5		(又)
529	似	似	tʃʰi24	ci5		
530	伽	伽	ka53	gaa1	伽利略	
531	伽	伽	ke21	ge4	伽藍	
532	伾	伾	pʰi53	pi1		
533	伿	伿	tʃi55	zi3		(又)
534	伿	伿	ji22	ji6		
535	佁	佁	ji24	ji5	癡；靜	
536	佁	佁	tʃʰi55	ci3	佁儗	
537	佃	佃	tin22	din6	佃戶	
538	佃	佃	tin21	din4	佃作	
539	但	但	tan22	daan6		
540	佇	伫	tʃy24	zyu5		
541	佈	布	pu55	bu3		
542	佉	佉	kʰy53	kyu1		
543	佊	佊	pi33	bi2		
544	佌	佌	tʃʰi33	ci2		
545	位	位	wɐi22	wai6		
